 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Sam F 	  Great fun, and visually thrilling, if a bit too frenetic.
 Aaron M 	  Its not as good as the LEGO Movie, straight up. However it is still an extremely fantastic movie. Its very funny and not just for kids but jokes for the adults too. Its not as adult friendly as LEGO Movie in my opinion. It does get a bit repetitive towards the end but it has its morals and is highly recommended watch, still feels fresh. Just hope we dont get an influx of these movies.
 Andrea M 	  A great follow up to the Lego movie. I could watch a TON of these things and still have fun. Great comedy, and loads of great one-liners.
 Albie F 	  I liked how the Joker and Batman teamed up.
 Teddy S 	  Funny take on Batman, fun movie
 Jaime S 	  Great family flick. Funny from veginning to end.
 Al B 	  Funny but really stupid.
 Brandy C 	  I honestly had no intention of seeing this movie, but decided to anyways. I liked it. Not great, not terrible, but I did like it. I recommend give it a watch. Maybe not in theaters, but in general.
 Chris E 	  Wry funny. Great animation.
 Dustin R 	  best Lego movie so far!
 Cameron H 	  Good laughs, good references, and a good message. The scope of the universe they built in this one wasn't as expansive as in the original Lego movie, though.
 Alex L 	  Great movie to take your kids to! Great lesson for all in the end of he movie too! Well done.
 Winston B 	  Just as funny if not more so than the first Lego Movie. If you haven't checked out this movie or it's predecessor because you think they're just for kids, then you are truly missing out. The Lego Batman Movie is a blast from start to finish and it'll provide you with enough jokes to laugh at for over a year.
 Sam F 	  Funniest movie ever!
 David W 	  It may have a predictable plot, but The Lego Batman Movie is still an entertaining flick that makes fun of Batman and DC
 Aaron A 	  The Lego Batman Movie is huge fun for all ages. If this isn't able to put a smile on your face then simply have sense of humour. A very good watch indeed.
 Jack J 	  A solid effort, but it's no The Lego Movie!
 Eve D 	  Not a great follow-up to the original. best batman film from DC in years but not funny enough to follow the Lego film. you know it's not the same calibre when kids start running around playing after losing interest in the film after 10 mins
 Kevin L 	  A fun filled adrenaline shot of comedy.
 Justin E 	  Focused story, original, funny.
 Jamil M 	  Funny movie, just like the last lego movie.
 Meddie A 	  It was fun at the beginning, but a weak plot and keep repeating the same jokes all over made me dead bored of it ...
 Tristan P 	  The Lego Batman movie may not be quite as good as The Lego Movie, but it's still very funny and beautifully animated and serves as both a fun adventure movie for kids and a successful spoof movie for adults.
 Tyler H 	  Didnt even make is 15 minutes into the movie and we all walked out, such a terrible movie, fast paced and bad jokes....dont waste your money
 Kyle S 	  Fantastically animated and brilliantly hysterical, it's the best Batman film really since The Dark Knight. Go see it!
 Julia E 	  Meh. Good bits, but nothing of the witty banter and cleverness of the first.
 Teresa W 	  Funny and cute. It was ok.
 Molly C 	  This movie had it's one liners, but over it was horrible. I have no idea how it is rated so high!
 Michael S 	  A funny and smart follow up to the Lego Movie. Best Batman movie in years!
 Lily G 	  was this really aimed for kids? i don't thinkan average kid would get any of the jokes in the movie. i enjoyed it, it was a bit too busy at some points, but wasa good movie.
 William B 	  I had a ball of fun with flick! so zippy, quick, & fun to watch. Most the jokes land perfectly, & there's non-stop action, & great animation to keep everything moving. But, the 1st ones so great, this one doesn't quite live up to it. But, still Highly recommend for all! :) (8.8/10, B+)
 David B 	  not good. we like kids movies and this was worthless. Not terrible but does nothing for you. Half a star to dilute other people's ratings.
 John S 	  Great movie for the kids. There was a lot of adult humor that obly parents would pick up on. Very enjoyable.
 James W 	  Cute and funny, but runs out of steam about halfway through.
 Donna S 	  Love, love, love this franchise. It is possible to make a blatant excuse to bring in the merchandising money while also putting some effort into making it enjoyable.
 MajinJ  	  So hilarious and also has some really sad parts. Loved it. Great movie to see with family.
 Cole R 	  Another lego animated feature that entertains the audience and shows a great message. It's a funny and great film to watch with the family. Score = 9.1
 Charlie D 	  You have to be in the right mood to see this kind of film, unless of course you're under the age of 12. It's overzealous and cheerful personality can get on your nerves quite easily under the right circumstances. If you are in the right mood it's manipulatively amusing which isn't necessarily a bad thing. Thank god it at least wasn't accompanied by any utterly vexacious theme songs as that would've drastically brought down the quality of the film in my sense. Since another lego instalment is coming out later this year, I don't know how long I'll be able to ride the bandwagon till I'm completely turned off by it.
 Jimmy S 	  an amazing and fun experience
 Brennan C 	  Holly Macro Batman! This movie is awesome
 John G 	  The best Batman of all time!
 Sophia L 	  Good movie which kids will love. Lots of action and humor along with some relationship and socialization material.
 Juan G 	  Will Arnet is the Best Batman Ever
 Blackhawk z 	  I loved this movie guys it was truly a funny film and it just reminds me of how much of a kid I am I really enjoyed this movie and I think you guys will too.
 Mathew M 	  consistently funny and imaginative.
 Damon R 	  I loved it! I died laughing. It doesn't take itself too seriously, which is what I love about it. Unlike Batman (the character), it has a heart. The Lego Batman Movie really stands out as the best DC animated theatrical movie since 1993's Batman: Mask of the Phantasm, except this is more of a comedy. An action-packed animated superhero comedy with a heart. So... let's put a smile on that face! I couldn't resist. Ha-ha-ha!
 Ramses A 	  Santas batipelculas Batman... Lego Batman
 John B 	  Not on the level of OG LEGO, but still a great family film that pays tribute to the dark knight
 Eric V 	  Not very funny. just a knock on the real batman which was not very funny. for very young kids. and the music was no where as good as the first one.
 Renzo Francisco B 	  me gusta la pelicula con mucho humor y accion q da esta pelicula con un contenido para nios
 Pavan K 	  Got to love this Batman
 Nick C 	  In a world oversaturated with superhero flicks, one hero will emerge from the ashes of DC's recent shortcomings to give fans a much needed breath of fresh air. This spin-off centered around The Lego Movie's Batman is a phenomenal take on the heavily idolized vigilante beloved by generations of moviegoers. Whether you're a fan of Michael Keaton's Batman, love the Nolan films, or your guilty pleasure is Adam West's portrayal of the iconic hero, there is something in this movie for you. Both director Chris McKay and the bevy of writers who worked on Lego Batman have an incredible understanding of not only Batman's comic book lore itself, but his various representations in film as well. This self aware parody is filled with nods and nuggets paying homage to Batman's legacy throughout the years that give all fans something to smile about. Although it stays true to its Lego based universe and incorporates some out of franchise characters, it still remains a superhero movie at its very core. For those willing to accept this tale of Batman as part of the character's ever-expanding history, it is easily one of his best adventures of all time. Though outrageously silly at times, the comedic pacing is immaculate. You're beaten over the head with an overabundance of jokes and background one-liners to the point that it's almost overwhelming. But then the film will seamlessly slow down to its prolonged humor as if the producers are simply waiting for you to laugh. The conversational dialogue would be enough to give a good chuckle, but the delivery by the star studded cast of voice actors is what brings it over the top. Zach Galifianakis as a whimsically sensitive Joker, Michael Cera as a giddy and jovial Robin, and Will Arnett's gravelly-voiced Batman added to the humorous tone while giving a new dimension to the much celebrated characters.The creative genius is also on full display with the amazing visuals . It may remain beholden to the Lego framework and mobility, but that does nothing to hold it back. Some of the action sequences in the movie have such a beautiful chaos to them with Lego bits flying around and vibrant colors shooting all over the screen that you almost get lost in the world they've constructed. At times it looks like it is straight out of a comic with large text like "BAM" and "POW" during a fluid fight scene, then the characters will "master-build" giant machines by throwing pieces together in what looks like it was taken straight out of the video game series. If you love Batman, love family friendly films, or simply want to get a good laugh, definitely go out and see this film. It's a unique take on the superhero genre that we should definitely expect more of.Score: 9.5/10
 Nick C 	  The LEGO Batman is one of the funniest and most entertaining animated films I've seen in 2017, and it's not only one of the best animated films of 2017, and one of the best comedies of 2017, but one of the best movies I've seen this year!
 Dely M 	  I was hoping to see a similar ending from the first installment (TM)
 Carlos D 	  finally! we get a breath of fresh air from all that serious darkish batman we've been watching for....almost 20 years!! Will Arnett's the best choice for this.Zach Galifianakis and Michael Cera did a great performance as well.very enjoyable funny and charming movie.I hope they don't ruin this Batman with a tv series,we're good with this kind of installment.
 Gabe W 	  It was funny. Dick Grayson did not have glasses
 Ben V 	  Batman and Joker relationship is really good. Definitely a Batman movie that is aimed at kids.
 Jordan H 	  good film kys rotten tomatoes critics dceu is cool
 Regina P 	  Hurrah! Fantabulous movie! Great lesson! Great soundtrack! Chuckled the whole way through .... no true complaints!
 C J 	  Funny. Like a 13 year old boy kind of funny. Wouldn't watch it again.
 tineshia a 	  This movie was not good. It was ok, but i won't be buying it on DVD for my kids. They were more excited about the preview of Cars.
 Gabriel M 	  Santo filme, Batman! ??
 Bonnie P 	  We've already seen it in the theaters...twice. Brilliant.
 Stanley C 	  This movie made Batman look like such a self-centered deranged jerk who only cares about himself which sets up a plot hole on how he chose to be a superhero in the first place, and I couldn't stand Phyllis or Barbara at all, those two were very annoying and keep constantly trying to blackmail Batman out of not being kept a prisoner of both of them.
 Colt A 	  this movie is amazing. the callbacks they make will delight the most hardcore of Batman fans, while not alienating the newer or more casual Batman fan. the message they offer is a great one for children to hear... and even caused a very meaningful conversation between my son and I about keeping your word as a man... eventhough it may result in the loss of something you hold dear. while this movies target audience may be children, it offers something for adults all throughout.. they achieve this in what I say is the more difficult way possible... they offer humor and references that are appropriate for the audience, and do not cram inappropriate humor or context into a children's movie.
 Niki L 	  This movie was brilliantly cleaver and funny.
 Tj P 	  Everything is awesome !
 Matthew C 	  Well, after the Lego Movie. Warner Bros. made another Lego Movie based on possibly the best DC Comics character ever to be created. I must say I loved the way how they play out Batman's character and if you do consider yourself a Batman Fan, then you will understand all the references in the movie to the past few Batman Movies. Although if you are a Hardcore Batman fan, you may wish that there was more to this movie, but for what it is ???? Go check it out and judge if for yourself, but it is really good.
 James P 	  THE LEGO BATMAN MOVIE is one of the greatest satires and greatest animated films ever, and the finest superhero movie ever made.
 Samiran%20 B 	  Just what a Batman Movie needed.The script seems to full of trolls, puns and a lot of "Cause I'm batman".A full length enjoyment. Will Arnett (J.O.B) didnt do a hugh mistake.
 Cody K 	  Good overall. Funny and comical portrayal of Batman and Robin. Some jokes can only be understood by adults which I enjoyed.
 Mike M 	  One of the best Batman movies you'll ever see but everything is not quite as awesome as the LEGO Movie.
 Emmanuel H 	  Loved the movie almost as much as The Lego Movie. Lots of Batman and DC references and many criticism to superhero movies. It really made a great movie.
 Alex A 	  Visually, and world building-wise, The Lego Batman Movie is a triumph. Semi-obvious praise goes to the voice acting, self-satire and references to previous incarnations of Batman. The humor garners its hilarious moments, but there's misfires and occasional repetitiveness too. The inclusion of iconic villains outside of DC is both a pro and a con, as it's fun to guess who they are, while simultaneously causing the third act to feel bloated. Not to mention the runtime could've been trimmed a little. In many ways the little things accumulated give the film its charm, and The Lego Batman Movie is a creative, literal block-buster.
 Chris P 	  Well done, but frankly it's a geek fest overload
 Kel P 	  This movie was amazing! Fun from start to finish, although there's a noticeable slow down in the middle.
 Ciaran G 	  good start to the film but went boring after 30mins
 Freddie S 	  The Lego Batman Movie is the lego movie we deserved, and also the one we needed. It's the let's get nuts movie all batman films needed. It's the Batman vs Superman, only minus everything in the film, and plus awesomeness. Was it as good as The Lego Movie, not sure. However if you love Batman, or Legos, or Lobster, then you are in for a treat.
 Emmanuel S 	  'The Lego Batman Movie' is every bit as delightful and funny as it's predecessor, reliant more on its DC mythological background as less on toy building blocks to forward the story with hilarious results.
 Chris d 	  I will definitely admit that I didn't know how much I was going to like the movie considering that I kinda didn't like the LEGO movie but this however was a truly wonderful time at the movies I laughed out loud at least twice during the movie and really enjoyed the characters the story and adventure and of course the laughs yes BATMAN is a little cocky at the beginning of the story but he learned a valuable lesson about friendship and teamwork skills i suggest that you take the family and have a good time
 Lee A 	  Almost nonstop humor. Fun and very self aware, a great addition to the Lego movie cannon. Not so sure about the new Ninjago movie coming out though...
 Tyler A 	  Honestly this is the best DC movie since The Dark Knight. Funny and compelling story and solid animation
 Frank G 	  Funny, silly but ultimately smart, The Lego Batman ridicule/question the problem of the iconic superhero in the brightest tone possible.
 Jorge Luis I 	  Buena, buena para el fandome buena para todos.
 Rafael L 	  A fun parody within a great Batman story.
 Jei P 	  i love lego anything and Batman is my favorite hero so what could go wrong?!?!
 Jos M 	  La mejor pelicula animada del 2017
 Tony V 	  Had to go and see it a second time! Great family movie!
 Marcus M 	  It's hard to talk about Batman without letting my fandom take over, but seeing how LEGO Batman references so much Batman history; it's only appropriate to review it from a fan perspective. With that being said, "LEGO Batman" is by far my favorite Batman movie behind the original Adam West Batman. I loved "Batman Begins" and the "Dark Knight" but even those didn't keep me quite as entertained from opening shot to credits."LEGO Batman" is an encyclopedia of Batman knowledge,: from the laundry list of villains from comics and TV shows, to the marketing of Batman to kids in the 90s that included some of the most ridiculous Batman specialized action figures ( I'm pretty sure I had Arctic freeze batman s a kid). The unrequited love/hate plot between Batman and Joker is a hilarious play in their history as well. At first I was skeptical that the LEGO version would be geared too much toward a 10 and under audience, but was pleasantly surprised how well it translates no matter how long you've been a Batman fan. Even if it's your first Batman movie it sums up his whole mythology well enough that you could understand his past, and motivations. (Will Arnett) takes the character in a more arrogant and look at me I'm Batman sort of way but it works so well because you could easily see a billionaire playboy having an unhealthy ego, even that plays well in showing batmans solitude and loneliness.Simply put,this movie is amazing, and definitely the most fun I've had at the theater in a while. It's worth the full price of admission and I think seeing it on a small screen wouldn't do justice to the beautiful graphics this film has to offer. Grab your kids, your parents, your grandparents,friends, grab whoever and go see "LEGO Batman".5/5
 Samantha M 	  Don't get me wrong, this is no "The Lego Movie", but Lego Batman delivers a funny and self-aware family outing you shouldn't miss.
 Teanna B 	  A wacky, insanely imaginative ...wait is this a sequel? To the Lego Movie? To all of Batman's legacy? No matter, sequels often fall flat, but this is more like the Marvel films, where each film becomes an episode, or chapter in a long running series. Probably more actual character development than many live action Batman films, and for once it's a world you'd like to inhabit, not a grim grey apocalyptic mess. The fact that it is a Lego world adds a dimension of crazed creativity that even non-Lego users will appreciate. Only the most snobby comic fans will pooh pooh this. FUN! But with a core of what makes superhero stories work.
 Shane M 	  While the film has the same production quality as The Lego Movie, it falls with it's lack of imagination that the Batman IP cannot give.
 Ivan L 	  Very funny, runs out of steam a bit near the end but still very good.
 Ryan B 	  This movie focused too much on the serious side instead of humor. The Lego Movie was much better!
 Mike D 	  Very funny!! First 40 min is literally lol funny!!
 Amanda H 	  Once again, I was delightfully surprised. I couldn't stop chuckling throughout the duration of the film. I appreciated the modest heart-warming scenes as well.
 Alam V 	  Very enjoyable movie, no matter the age :D
 Robert M 	  The Lego Batman Movie is a deconstruction and celebration of the Caped Crusader. It's also the best Batman flick since 2008.
 K M 	  Fantastic!Hilarious. I love Will Arnett.
 Michael P 	  Another great Lego movie. A small step below the original Lego Movie (not much) but easily better than the last 3 Batman movies. Bring on Lego Ninjago Movie!
 Lynda M 	  Kids would probably give it a higher rating. As an adult it was ok, had seen some of the best parts in the trailer. It's loud and colourful.
 Mr. F 	  Funny ActionEnjoyableKid-friendlyThese are only a few adjectives to describe The Lego Batman MovieGreat movie 91% rotten tomatoes worthyI loved it!!!!!! YOU SHOULD WATCH IT!!!!
 Zheng Liang Y 	  worst 18 bucks spent
 Kristen D 	  I completely loved this movie. Highly recommend. Kids will definitely love it and so will adults.
 Michael T 	  It was a bit long but this Lego-ized Batman world carves the line between humor and seriousness that the DCEU should be taking inspiration from. It is coy, witty and pays homage to Batman's past cinema history as well as his place in pop culture today.
 John R 	  Very enjoyable with lots of amusing links to previous super hero movies. Good scrip and voices.??
 Melissa R 	  It was a bit good but not some best moments in the flim
 Joseph O 	  This movie was outroarously funny. I enjoyed watching every second of it. Great laughs throughout the film. Not a dull moment.
 Daniel V 	  The Lego Batman Movie is a delightful film that can be enjoyed by all ages. Will Arnett portrays the Lego Caped Crusader wonderfully, with his wittiness and overall narcissism. It's funny and fast-paced and is very much worth your time.
 Lucero C 	  Lego films continue to be excellent!!! so hilarious!
 Justin S 	  Great movie for all ages
 Linda B 	  An average 3.5 stars, but worth watching
 Chris B 	  When this film was first announced following the success of The Lego Movie I was apprehensive. Although I enjoyed Batman in the film I thought a whole film dedicated to just this character would be stretching it. Thankfully I was wrong. A treat for any Batman fan, there are jokes for hardcore and casual fans. The opening scenes were hilarious and although the jokes did dry up in the middle the laughs returned by the end of the film. My only criticism would have been that a lot of the jokes were in the multiple trailers, and the plot was quite obvious from the trailers as well. I enjoyed the multiple cross-brand characters (not split in advance) but did feel a bit like a mirror image of the Lego Movie's ensemble of Master Builders just evil.
 Daniel B 	  Lego Batman does everything it sets out to do. It's a fun ride, incredibly amusing and the animation is on top form. It's a fantastic tribute to the Batman legacy. DC films need to make more like this!
 David S 	  I loved this almost as much as the original Lego Movie. This film had me rolling with some hilarious jokes and callbacks to prior films and Batman's. The surprise bad guys we're pretty sweet too. This film is "for kids" but anybody can enjoy it. It has humor for all and its a really nice looking animated film. Lego Batman was awesome!!
 TomTom C 	  Another classic lego movie, please make 75 more these..
 Bruce F 	  A nice amount of humor for adults and an overload for the kiddos. Better than quite a few of the live action Batman movies.
 Tiffany R 	  I have seen this multiple times and it just keeps getting better. It's a very fun movie from start to finish.
 Reed V 	  Enjoyable for kids and those familiar with the polarizing cinematic history of the protagonist, but also somewhat long-winded and noisy.
 monica l 	  this movie is hilarious
 007 W 	  The lego batman movie is good, of course up there with the lego movie, thank Christ Warner Bros have made a good movie because they did a pretty bad job with DC in 2016, cause we've got Batman versus Superman and suicide squad or, they're both awful, but thank God this movie is good
 John M 	  Of course this is going to be the first 2017 release I watch. So if you couldn't figure it out by the title, this is Batman (Will Arnett) in LEGO form. He has to deal with his usual song and dance from the Joker (Zach Galifianakis), but he also has to face the repercussions from accidentally adopting a son (Michael Cera) as well as pinpointing the reason why he has always had the desire to work alone. If you happened to catch the original LEGO Movie back in 2014, one of the biggest takeaways is how good Will Arnett's voice is for the character of Batman. He may not have the build to play him in a live action, and he is too renown for being comedic to be cast in anything serious, so with LEGO, this may be his only chance. He thrives in this universe. After the mess that is Batman v Superman, this is a breath of fresh air. I love them, but the Nolan trilogy set the tone for this character to be exclusively featured in very dark stories. The creators of the DCEU went off of that, and they put together a universe that is not only drab and devoid of any sense of humor, but it seems to be against the law for anyone to crack a smile. This is the polar opposite of that. Now let me tell you that this is a movie that moves fast; I am fairly certain that I missed at least a dozen jokes if not more because I was still too busy laughing at the previous joke. It spreads the humor in such a way that there is something for everyone; there are simple jokes that kids will get, as it is very similar to them playing with their toys, but there are also tons of in-jokes so that if you know anything about the lore of Batman, you will get an appreciated nudge and a wink. There are jokes for film buffs as well, like a well placed Gymkata reference. There was even an Arrested Development callback that I totally missed until my wife explained it to me, and that is exactly what this movie is: so many clever jokes that are jam packed into the script that you almost assuredly miss a few. This is a movie that comprehends Batman better than anybody does in the DCEU. You could make an argument that this is all about marketing so as to sell toys, and while you're not wrong, this is so much more than that, much like the original LEGO movie. The villain lineup is impressive, and even though equal screen time obviously cannot be granted in a 100 minute kids movie, simply by mentioning all of these character names is a nod enough. Zach Galifianakis turns in great work as The Joker, which isn't something I can say that I was expecting; I'm really glad he chose not to just do a Nicholson or a Ledger impression, because it would have been wildly inappropriate. There is a ton of fan service, and if you like the character, this is a must see.
 Ken C 	  The LEGO once again recreate enthusiasm and inventiveness with wit, enthral and stream of funny jokes. Bum that the final act and the way the hero resolve his conflict familiar with the original LEGO movie.
 Jody T 	  I laughed so hard I was crying. As an adult. Great humor. Can't wait for Redbox to watch it again!
 Jay M 	  Of course DC has to put more homosexuality in kids stuff.
 Caspar N 	  LEGO Batman Movie was honestly a thrill from start to finish. I was engaged the whole movie and it hit the nostalgia I didn't know I wanted from previous Batman series. I will say the first ten minutes almost lost me, though. LEGO Batman Movie tried and, in my opinion, fell a little short of what Deadpool did with being self-aware of being a movie and breaking a lot of fourth walls because it doesn't really continue to do that. What did it for me is when they focused on Batman's trope through out all of the franchise which was him wanting to be alone to protect himself and others and realizing that he needs them to continue what he does. LEGO Batman Movie does it in a way, though, that continues to be humorous with its own meta jokes and hilarious dialogue. I found that the jokes never really missed a beat and had being me laughing most of the movie. There were very few instances where I thought the plot dragged or that joke was running too long. It's perfect for kids who might not understand all of the back story because of the action and humor but still great for adults who do.
 Jonandrey S 	  Creative,Great and a Successful Lego movie that is enjoyable to watch full of action,pack,and many more..
 Matt B 	  This was funny and very entertaining. Though I did enjoy the Lego movie slightly more this was a fantastic addition to the series. I never expected both films to be any good but after learning the director came from robot Chicken I was immediately interested. just like the show it plays into the films with similar satire theme to which adults and kids will both enjoy. Will Arnette is a talented comedian and does a great job voicing Batman. From beginning to end the movie never loses steam. I highly recommend this film it's worth a watch. Can't wait to see more Lego movies!
 Basil D 	  This is a great batman movie with legos, it does what animated films should, it is funny and exciting.
 Gael C 	  This is a wonderful look at the Batman story focusing on a side that most Batman movies show in a heavily dramatic way, but Lego Batman Movie plays it in the most comedic way possible. Which is both the positive and negative of this movie. It is a very funny and cute movie with very funny joke being thrown at you at every second. Which at times gets a little tiring.Still a very recommendable movie for both kids and adults.
 Eric M 	  A little exhausting but absolutely hilarious with a great message and great cameos.
 Corey V 	  Pretty great successor to The LEGO Movie
 Rachel B 	  Got old really fast. Animation is stellar and it's still a pretty fun film but doesn't hold a flame against Lego Movie.
 Gregory C 	  Yes. Yes. Thank you, yes! <3
 Lee M 	  Good movie for my son & I but seemed a little strung out.
 Trey B 	  Fun and funny time indeed!
 Teddy F 	  A fun movie with above average visuals and animation, several jokes throughout, and a new and unique take on the Dark Knight. The only problem it runs into is some forced humor here and there. Otherwise, Lego Batman is good for Batman fans of all ages and is better, I think, than its predecessor, The Lego Movie.
 Mirella R 	  This movie was ridiculously boring I had to sit for 2 hours and it did not catch our attention one bit
 Laura C 	  I loved this movie! This movie was so funny! I saw this movie with my mom and we both laughed threw the whole movie we really enjoyed this hilarious movie! I love Batman!! If your a fan of Batman and Lego movies you will love this movie! This movie is great for adults and kids too very funny and age appropriate! go see this movie!
 Jason R 	  Probably the single best Batman movie ever made. It has no restrictions, and can be exactly what it is, a wide open, fun romp through the Dark Knight's world. There are great little touches that reference both some of Batman's craziest villains(Condiment King), and his regular villains(Bane's voice is the Tom Hardy/Dark Knight Rises version). Zach Galiafanakis was a genius choice to portray the Joker, and launches himself into the pantheon of great portrayals of that character. He would be a great choice for a live action portrayal, as well.The movie goofs on a lot of things, and plays up things like Batman's inability to form meaningful relationships, and the innocence of young Dick Grayson, as well as Joker's need to be considered Batman's greatest villain. It has a lot of fun, pulls no punches whatsoever, and is full of terrific laughs for both the kids and the adults.Batman is regarded by DC and the DCEU, DCAU, etc. as a serious and brooding character, and as such you will never see something like this in their mainstream universes, which is why this movie stands out as refreshing, and gives all these characters an opportunity to be funny without necessarily being campy. The plot is good and solid, and hits its marks while leaving a message for its youthful audience, and as a result it succeeds in ways its film versions have failed over the years. So grab the kids, get some popcorn, and enjoy, because this is the Batman movie you never knew you needed.
 Adam H 	  Hilarious. I now officially love the lego movie franchise.
 Brian B 	  Great movie! Pros: Great humor, fan service, and various characters! Cons: Hero-villain relationship drama. That part made it seem like batman and joker were ex gay lovers.
 Rowan W 	  Havent seen it. Still better than batman v superman.
 Paul R 	  The Lego Batman Movie is a joy to watch from start to finish and it is as much for adults as it is for kids. Witty, inventive and visually stunning to look at, it's up there with some of the best animated films of recent years. Will Arnett plays a great Batman, a combination of the past incarnations and he adds his own sarcastic touch too. The film works on so many levels and the fun and homage that it pays to previous Batman films is what I liked the most. There are references to the Michael Keaton Batman films, Christopher Nolan's epic trilogy, as well as making fun of the Adam West tv series and the god awful Joel Schumacher atrocities. There are also lots of really fun Superman moments that I really enjoyed too. It's great fun from start to finish, it moves along at a great pace and doesn't outstay it's welcome. I look forward to a sequel.
 Max D 	  Its a good batman "Parody" movie, and it gets you entertained but there is so much laugh that is tired..
 Javier S 	  Una historia super divertida acerca de la relacin de Batman y Robin con un guin que toca muchsimos de los puntos importantes de la historia de Batman y que convierte esta pelcula no slo en una buena pelcula de Batman si no en una buena pelcula en general muy recomendable?
 Allen W. H 	  Clever writing and entertaining. A fun movie. :)
 Chris H 	  Let's not beat around the bush here, this movie is fall off your chair hilarious. And outside the Dark Knight, this is the best Batman movie that's been produced. Flavors of the Lego movie throughout, but it sublet and tastefully done. Must see, you won't regret.
 Dan D 	  Worst of the worst. Waste of $50!matinee.
 Cortney S 	  Probably the greatest movie I've seen in the past year. Hilarious and witty from the intro credits to the end credits. And tons of references
 Ted W 	  Great Lego animated movie that's sorta a spin off of the lego movie starring will Arnett, Michael cena , and Rosario Dawson. Going into this movie I thought it would be a cheesy kids movie but actually had a lot of heart in this movie and the moral just makes you appreciate your family or the people that are close to you. Yes , this movie is cheesy at times but you have to put in your mind that it's a kids movie so they have to put those butt jokes in the film. Another thing that was awesome was the cameos and references in this film like gremlins, the wicked witch of the West, count dracula, Jurassic park, king Kong, and Godzilla. That's just my favorites but their are many many other cool references. Last thing, the jokes and how Barham breaks the 4th wall and uses all the Batman movies to his advantage and makes fun of them and turns into something hilarious. Can't wait for another Lego movie, so far they haven't disappointed me.
 Darren P 	  It's not quite on the same level as The Lego Movie, but there's a lot of fun to be had for all ages.
 Alex B 	  Probably the best depiction of batman we'll get all year
 Ryan V 	  This has the same sense of humor and pop culture references as The Lego Movie. And that's a great thing. It's also a big wet kiss to longtime Batman fans, complete with references to every preceding Batman comic, tv show and movie. I had a smile on my face the entire time.
 Blake W 	  Because I'm Batman!!!
 Pierre-Luc G 	  Un excellent divertissement. Idal pour ceux qui se cherchent une simple comdie sans prise de tte. Un joli contraste  l'univers DC et ses nombreux hros un peu trop srieux.
 Miranda M 	  Con un mensaje super especial y la accin no termina...realmente me gusto mucho!!
 Chris V 	  Pretty dang funny. The voice actors are hilarious especially Michael Cera.
 Peter C 	  Wasn't as good as the Lego movie but funny non the less
 Santiago D 	  Hilarious! It is literally a parody of every superhero movie and it is GENIUS!
 Damon P 	  Fun and great for kids I really liked this movie
 Neil P 	  This was a joy to watch - not as clever as the Lego movie (which is a surprisingly high bar) but possibly funnier and incredibly rewarding for fans of Batman in film/tv/comics (which I am). In many ways it does a bigger story than any of the Bat movies have attempted and it has a really good take on Batman and Jokers "relationship". Will Arnett is simply great as Batman and I get the impression he loves the role always manage to balance the fine line between loveable jerk and pain in the ass. Teaming him with his "arrested development" co-star Michael Cera as Robin is a great idea too. There's too many geeky shout-outs to listen and most of the film is laugh out loud funny. The lego animation is also distinct and visually interesting throughout. Based on the Ninjago trailer, I'm still dumbfounded how the Lego film franchise might be the freshest out there at the moment.
 Jason S 	  Not near as good as the original Lego movie.
 Elton G 	  The relentless visuals and jokes may wear you out, but if they do not, this movie is a super funny film filled with good characters and a lot, a lot of references.
 Tony K 	  Fun and enjoyable. Moves quickly. great voice talent. Wish they didn't add the non-dc characters. Also wasn't a fan of the Joker but everyone else blew me away. The jokes were more for us grownups. not in adult related but they pulled from our past with the older batman movies and tv shows.
 Eric B 	  Great movie with lots of in-jokes for Warner Bros. fans.
 Mitchell B 	  Maybe the funniest animated movie I've ever seen
 Dashtag M 	  Super cute and silly!
 James J 	  This was exactly good and it was funny.
 JGAMER  	  an ACTUAL FUNNY SPOOF movie! This movie is a spoof movie, but it knows how to be one unlike anyother spoof movies ive seen. It has perfect comedy for adults and kids to laugh at and it keeps you entertained all the way through with action to the point where it gets exhausting, which is good. If your looking for a movie for the whole family to enjoy, then this would be the one! There is something about these lego stop motion movies that is super cool to see on the bigscreen that I would actually buy this on blueray!
 Luis Henrique R 	  Muito legal!!!No  o melhor filme do Batman..no  o que eu quero ver em Live-action, no tem a essncia do personagem, pois ele tem quase 80 anos e vrias interpretaes ...parece um filme do Joel Shumacher...mas  FODA DEMAIS!!!Da para gostar e ver qualidades em tudo, mesmo quando aquilo  diferente do que vc mais gosta do personagem ou segmento."Se voc quer fazer do mundo um lugar melhor, olhe para si mesmo e faa uma mudana....Uhu Batman ou Michael Jackson
 Chris C 	  sometimes it's so dumb it's funny
 Stephen N 	  It was too funny NOT too be good! Forget about the Lego movie; see this gem!
 Cesar Q 	  Funny, thoughtful and amazing graphics. It just lacked the ingenuity and heart from the first Lego Movie.
 Ryan M 	  The Lego Batman Movie is more than just a hilarious send-up of superhero movies-- it's also a really good superhero movie, standing tall among the best Batman feature films by capturing the important components of all Batman eras, which no other film has done to date.
 Scott C 	  Good rainy Saturday movie, lots if laughs.
 B C 	  If you liked the Lego Movie, then you'll like this one.
